,Day,group1,group2,p_value
637,9-Nov,control ad lib,HFHS ad lib,0.06767680426786608
638,9-Nov,control ad lib,HFHS restriction,0.0666601077948137
639,9-Nov,control restriction,control ad lib,0.0385414440766041
640,9-Nov,control restriction,HFHS ad lib,0.0035093711420864696
641,9-Nov,control restriction,HFHS restriction,0.0030966590870221385
642,9-Nov,HFHS ad lib,control ad lib,0.06767680426786608
643,9-Nov,HFHS ad lib,control restriction,0.0035093711420864696
644,9-Nov,HFHS ad lib,HFHS restriction,0.4236486066444851
645,9-Nov,HFHS restriction,control ad lib,0.0666601077948137
646,9-Nov,HFHS restriction,control restriction,0.0030966590870221385
647,9-Nov,HFHS restriction,HFHS ad lib,0.4236486066444851
